PotenciaWts;PotenciaHP;Carcaca;ConjugadoNominal;CorrenteRotorBloqueado;ConjugadoRotorBloqueado;ConjugadoMaximo;MomentoInercia;TempoMaximoRotorBloqQuente;TempoMaximoRotorBloqFrio;Peso;NivelPressaoSonora;FatorServico;RPM;RendimentoH1;RendimentoH2;RendimentoH3;PorcCarga;FatorPotencia;FatorPotencia2;CorrenteNominal
7,5;10;132M/L;6,30;6,4;1,95;2,5;0,0755;22;48;90,0;55;1,15;1160;88,0;88,5;88,5;0,57;0,69;0,76;29,4
9,2;12,5;160M;7,66;6,0;2;2,5;0,1221;15;33;109;59;1,15;1170;89,0;89,5;89,5;0,64;0,76;0,82;32,8
11;15;160M;9,12;6,5;2,3;2,8;0,1652;13;29;122;59;1,15;1175;89,7;91,0;91,0;0,62;0,74;0,80;39,6
15;20;160L;12,4;6,5;2,4;2,8;0,1867;9;20;137;59;1,15;1175;90,0;91,0;91,3;0,62;0,74;0,80;53,8
18,5;25;180L;15,3;8,5;2,5;3;0,2827;7;15;177;59;1,15;1175;92,0;92,4;92,4;0,69;0,80;0,86;61,0
22;30;200L;18,2;6,1;2,1;2,5;0,4126;14;31;218;62;1,15;1175;92,2;92,4;92,4;0,65;0,76;0,81;77,2
30;40;200L;24,9;6,0;2;2,4;0,4485;13;29;228;62;1,15;1175;92,5;93,0;93,4;0,65;0,76;0,81;104
37;50;225S/M;30,5;7,0;2,1;2,5;1,08;12;26;374;66;1,15;1180;92,6;93,5;93,6;0,71;0,80;0,84;123
45;60;250S/M;37,1;7,0;2,3;2,6;1,22;12;26;435;68;1,15;1180;93,6;93,8;93,8;0,70;0,80;0,83;152
55;75;250S/M;45,2;7,2;2,4;2,6;1,36;10;22;469;68;1,15;1185;93,7;94,0;94,1;0,70;0,80;0,84;183
75;100;280S/M;61,6;6,0;2;2,3;3,10;16;35;641;69;1,15;1185;93,9;94,2;94,4;0,70;0,80;0,83;252
90;125;280S/M;74,0;6,0;2;2,3;3,68;14;31;678;69;1,15;1185;94,4;94,6;94,7;0,69;0,79;0,83;300
110;150;315S/M;90,0;6,0;2;2,2;4,37;21;46;946;70;1,15;1190;94,5;95,1;95,1;0,70;0,79;0,83;366
132;175;315S/M;108;6,3;2,1;2,3;5,29;18;40;990;70;1,15;1190;94,6;95,1;95,3;0,70;0,79;0,83;438
150;200;315S/M;123;6,5;2,2;2,3;6,34;16;35;1044;70;1,15;1190;94,8;95,3;95,4;0,69;0,79;0,83;498
185;250;355M/L;151;6,2;2;2,1;8,35;30;66;1455;77;1,15;1190;95,0;95,4;95,5;0,69;0,78;0,81;628
200;270;355M/L;164;6,4;2;2,1;9,30;24;53;1525;77;1,15;1190;95,0;95,5;95,5;0,70;0,79;0,81;678
220;300;355M/L;180;6,3;2;2,1;9,72;30;66;1570;77;1,15;1190;95,2;95,5;95,6;0,68;0,78;0,81;746
260;350;355M/L;213;6,4;1,9;2,1;12,2;28;62;1769;77;1,15;1190;95,3;95,5;95,7;0,68;0,78;0,81;880
300;400;355M/L;246;6,3;1,8;2,1;14,3;26;57;1927;77;1,15;1190;95,4;95,7;95,7;0,67;0,77;0,80;1030
330;450;355M/L;270;6,3;2,2;2,1;15,0;26;57;1989;77;1,15;1190;95,5;95,7;95,7;0,67;0,77;0,80;1130
370;500;355M/L;303;6,3;2,2;2,3;15,0;25;55;1989;77;1,15;1190;95,5;95,7;95,7;0,63;0,74;0,79;1280
400;550;355A/B;327;6,5;2,2;2,3;16,4;30;66;2147;77;1,00;1190;95,2;96,0;96,1;0,63;0,74;0,79;1380
450;600;355A/B;368;6,5;2,2;2,3;18,9;31;68;2346;77;1,00;1190;95,4;96,1;96,2;0,63;0,74;0,79;1550
